Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Lucknow,1A,HP,1,Upper,False
Lucknow,1A,GN,2,Upper,False
Lucknow,1A,DF,3,Upper,False
Lucknow,1A,LD,4,Lower,False
Lucknow,1A,YU,5,Upper,True
Lucknow,1A,DF,6,Side,True
Lucknow,1A,DF,7,Side,True
Lucknow,1A,LD,8,Lower,True
Lucknow,1A,DF,9,Upper,True
Lucknow,1A,HP,10,Upper,False
Lucknow,1A,TQ,11,Lower,True
Lucknow,1A,LD,12,Upper,True
Lucknow,1A,TQ,13,Lower,True
Lucknow,1A,GN,14,Upper,False
Lucknow,1A,LD,15,Side,True
Lucknow,1A,LD,16,Lower,False
Lucknow,1A,GN,17,Lower,False
Lucknow,1A,LD,18,Upper,False
Lucknow,1A,PH,19,Lower,True
Lucknow,1A,YU,20,Upper,True
Lucknow,1A,LD,21,Upper,True
Lucknow,1A,HP,22,Lower,False
Lucknow,1A,GN,23,Side,False
Lucknow,1A,DF,24,Side,False
Lucknow,2A,TQ,1,Lower,True
Lucknow,2A,LD,2,Upper,True
Lucknow,2A,HP,3,Upper,True
Lucknow,2A,DF,4,Lower,False
Lucknow,2A,TQ,5,Side,True
Lucknow,2A,LD,6,Side,False
Lucknow,2A,LD,7,Upper,True
Lucknow,2A,DF,8,Lower,False
Lucknow,2A,HP,9,Side,True
Lucknow,2A,TQ,10,Lower,True
Lucknow,2A,HP,11,Lower,True
Lucknow,2A,DF,12,Side,True
Lucknow,2A,DF,13,Lower,True
Lucknow,2A,TQ,14,Upper,False
Lucknow,2A,PH,15,Lower,False
Lucknow,2A,PH,16,Side,True
Lucknow,2A,GN,17,Side,False
Lucknow,2A,LD,18,Upper,True
Lucknow,2A,DF,19,Side,False
Lucknow,2A,PH,20,Lower,True
Lucknow,2A,HP,21,Side,True
Lucknow,2A,DF,22,Upper,True
Lucknow,2A,DF,23,Side,True
Lucknow,2A,HP,24,Side,False
Lucknow,3A,TQ,1,Upper,True
Lucknow,3A,LD,2,Side,False
Lucknow,3A,DF,3,Upper,False
Lucknow,3A,YU,4,Side,False
Lucknow,3A,YU,5,Lower,True
Lucknow,3A,LD,6,Lower,True
Lucknow,3A,LD,7,Upper,False
Lucknow,3A,GN,8,Upper,False
Lucknow,3A,HP,9,Upper,False
Lucknow,3A,LD,10,Side,False
Lucknow,3A,PH,11,Upper,False
Lucknow,3A,PH,12,Upper,False
Lucknow,3A,HP,13,Side,True
Lucknow,3A,GN,14,Lower,False
Lucknow,3A,YU,15,Lower,False
Lucknow,3A,LD,16,Lower,True
Lucknow,3A,TQ,17,Lower,False
Lucknow,3A,GN,18,Side,False
Lucknow,3A,HP,19,Lower,True
Lucknow,3A,DF,20,Side,False
Lucknow,3A,GN,21,Side,False
Lucknow,3A,HP,22,Side,True
Lucknow,3A,DF,23,Lower,False
Lucknow,3A,TQ,24,Upper,True
Lucknow,SL,LD,1,Lower,True
Lucknow,SL,LD,2,Side,True
Lucknow,SL,HP,3,Upper,True
Lucknow,SL,TQ,4,Lower,True
Lucknow,SL,PH,5,Upper,False
Lucknow,SL,GN,6,Upper,True
Lucknow,SL,LD,7,Lower,False
Lucknow,SL,PH,8,Lower,True
Lucknow,SL,PH,9,Side,True
Lucknow,SL,HP,10,Upper,False
Lucknow,SL,TQ,11,Lower,True
Lucknow,SL,LD,12,Lower,True
Lucknow,SL,DF,13,Lower,True
Lucknow,SL,PH,14,Upper,True
Lucknow,SL,GN,15,Upper,True
Lucknow,SL,PH,16,Lower,False
Lucknow,SL,PH,17,Side,True
Lucknow,SL,TQ,18,Lower,False
Lucknow,SL,HP,19,Side,False
Lucknow,SL,DF,20,Lower,True
Lucknow,SL,GN,21,Side,True
Lucknow,SL,TQ,22,Upper,False
Lucknow,SL,HP,23,Side,False
Lucknow,SL,HP,24,Upper,False
Faizabad,1A,HP,1,Upper,False
Faizabad,1A,GN,2,Upper,False
Faizabad,1A,DF,3,Upper,False
Faizabad,1A,LD,4,Lower,False
Faizabad,1A,YU,5,Upper,True
Faizabad,1A,DF,6,Side,True
Faizabad,1A,DF,7,Side,True
Faizabad,1A,LD,8,Lower,True
Faizabad,1A,DF,9,Upper,True
Faizabad,1A,HP,10,Upper,False
Faizabad,1A,TQ,11,Lower,True
Faizabad,1A,LD,12,Upper,True
Faizabad,1A,TQ,13,Lower,True
Faizabad,1A,GN,14,Upper,False
Faizabad,1A,LD,15,Side,True
Faizabad,1A,LD,16,Lower,False
Faizabad,1A,GN,17,Lower,False
Faizabad,1A,LD,18,Upper,False
Faizabad,1A,PH,19,Lower,True
Faizabad,1A,YU,20,Upper,True
Faizabad,1A,LD,21,Upper,True
Faizabad,1A,HP,22,Lower,False
Faizabad,1A,GN,23,Side,False
Faizabad,1A,DF,24,Side,False
Faizabad,2A,TQ,1,Lower,True
Faizabad,2A,LD,2,Upper,True
Faizabad,2A,HP,3,Upper,True
Faizabad,2A,DF,4,Lower,False
Faizabad,2A,TQ,5,Side,True
Faizabad,2A,LD,6,Side,False
Faizabad,2A,LD,7,Upper,True
Faizabad,2A,DF,8,Lower,False
Faizabad,2A,HP,9,Side,True
Faizabad,2A,TQ,10,Lower,True
Faizabad,2A,HP,11,Lower,True
Faizabad,2A,DF,12,Side,True
Faizabad,2A,DF,13,Lower,True
Faizabad,2A,TQ,14,Upper,False
Faizabad,2A,PH,15,Lower,False
