Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Jaipur,1A,HP,1,Upper,False
Jaipur,1A,GN,2,Upper,True
Jaipur,1A,DF,3,Upper,False
Jaipur,1A,LD,4,Lower,False
Jaipur,1A,YU,5,Upper,True
Jaipur,1A,DF,6,Side,True
Jaipur,1A,DF,7,Side,True
Jaipur,1A,LD,8,Lower,True
Jaipur,1A,DF,9,Upper,True
Jaipur,1A,HP,10,Upper,False
Jaipur,1A,TQ,11,Lower,True
Jaipur,1A,LD,12,Upper,True
Jaipur,1A,TQ,13,Lower,True
Jaipur,1A,GN,14,Upper,True
Jaipur,1A,LD,15,Side,True
Jaipur,1A,LD,16,Lower,False
Jaipur,1A,GN,17,Lower,True
Jaipur,1A,LD,18,Upper,False
Jaipur,1A,PH,19,Lower,True
Jaipur,1A,YU,20,Upper,True
Jaipur,1A,LD,21,Upper,True
Jaipur,1A,HP,22,Lower,False
Jaipur,1A,GN,23,Side,False
Jaipur,1A,DF,24,Side,False
Jaipur,2A,TQ,1,Lower,True
Jaipur,2A,LD,2,Upper,True
Jaipur,2A,HP,3,Upper,True
Jaipur,2A,DF,4,Lower,False
Jaipur,2A,TQ,5,Side,True
Jaipur,2A,LD,6,Side,False
Jaipur,2A,LD,7,Upper,True
Jaipur,2A,DF,8,Lower,False
Jaipur,2A,HP,9,Side,True
Jaipur,2A,TQ,10,Lower,True
Jaipur,2A,HP,11,Lower,True
Jaipur,2A,DF,12,Side,True
Jaipur,2A,DF,13,Lower,True
Jaipur,2A,TQ,14,Upper,False
Jaipur,2A,PH,15,Lower,False
Jaipur,2A,PH,16,Side,True
Jaipur,2A,GN,17,Side,False
Jaipur,2A,LD,18,Upper,True
Jaipur,2A,DF,19,Side,False
Jaipur,2A,PH,20,Lower,True
Jaipur,2A,HP,21,Side,True
Jaipur,2A,DF,22,Upper,True
Jaipur,2A,DF,23,Side,True
Jaipur,2A,HP,24,Side,False
Jaipur,3A,TQ,1,Upper,True
Jaipur,3A,LD,2,Side,False
Jaipur,3A,DF,3,Upper,False
Jaipur,3A,YU,4,Side,False
Jaipur,3A,YU,5,Lower,True
Jaipur,3A,LD,6,Lower,True
Jaipur,3A,LD,7,Upper,False
Jaipur,3A,GN,8,Upper,False
Jaipur,3A,HP,9,Upper,False
Jaipur,3A,LD,10,Side,False
Jaipur,3A,PH,11,Upper,False
Jaipur,3A,PH,12,Upper,False
Jaipur,3A,HP,13,Side,True
Jaipur,3A,GN,14,Lower,False
Jaipur,3A,YU,15,Lower,False
Jaipur,3A,LD,16,Lower,True
Jaipur,3A,TQ,17,Lower,False
Jaipur,3A,GN,18,Side,False
Jaipur,3A,HP,19,Lower,True
Jaipur,3A,DF,20,Side,False
Jaipur,3A,GN,21,Side,False
Jaipur,3A,HP,22,Side,True
Jaipur,3A,DF,23,Lower,False
Jaipur,3A,TQ,24,Upper,True
Jaipur,SL,LD,1,Lower,True
Jaipur,SL,LD,2,Side,True
Jaipur,SL,HP,3,Upper,True
Jaipur,SL,TQ,4,Lower,True
Jaipur,SL,PH,5,Upper,False
Jaipur,SL,GN,6,Upper,True
Jaipur,SL,LD,7,Lower,False
Jaipur,SL,PH,8,Lower,True
Jaipur,SL,PH,9,Side,True
Jaipur,SL,HP,10,Upper,False
Jaipur,SL,TQ,11,Lower,True
Jaipur,SL,LD,12,Lower,True
Jaipur,SL,DF,13,Lower,True
Jaipur,SL,PH,14,Upper,True
Jaipur,SL,GN,15,Upper,True
Jaipur,SL,PH,16,Lower,False
Jaipur,SL,PH,17,Side,True
Jaipur,SL,TQ,18,Lower,False
Jaipur,SL,HP,19,Side,False
Jaipur,SL,DF,20,Lower,True
Jaipur,SL,GN,21,Side,True
Jaipur,SL,TQ,22,Upper,False
Jaipur,SL,HP,23,Side,False
Jaipur,SL,HP,24,Upper,False
Bharatpur,1A,HP,1,Upper,False
Bharatpur,1A,GN,2,Upper,True
Bharatpur,1A,DF,3,Upper,False
Bharatpur,1A,LD,4,Lower,False
Bharatpur,1A,YU,5,Upper,True
Bharatpur,1A,DF,6,Side,True
Bharatpur,1A,DF,7,Side,True
Bharatpur,1A,LD,8,Lower,True
Bharatpur,1A,DF,9,Upper,True
Bharatpur,1A,HP,10,Upper,False
Bharatpur,1A,TQ,11,Lower,True
Bharatpur,1A,LD,12,Upper,True
Bharatpur,1A,TQ,13,Lower,True
Bharatpur,1A,GN,14,Upper,True
Bharatpur,1A,LD,15,Side,True
Bharatpur,1A,LD,16,Lower,False
Bharatpur,1A,GN,17,Lower,True
Bharatpur,1A,LD,18,Upper,False
Bharatpur,1A,PH,19,Lower,True
Bharatpur,1A,YU,20,Upper,True
Bharatpur,1A,LD,21,Upper,True
Bharatpur,1A,HP,22,Lower,False
Bharatpur,1A,GN,23,Side,False
Bharatpur,1A,DF,24,Side,False
Bharatpur,2A,TQ,1,Lower,True
Bharatpur,2A,LD,2,Upper,True
Bharatpur,2A,HP,3,Upper,True
Bharatpur,2A,DF,4,Lower,False
Bharatpur,2A,TQ,5,Side,True
Bharatpur,2A,LD,6,Side,False
Bharatpur,2A,LD,7,Upper,True
Bharatpur,2A,DF,8,Lower,False
Bharatpur,2A,HP,9,Side,True
Bharatpur,2A,TQ,10,Lower,True
Bharatpur,2A,HP,11,Lower,True
Bharatpur,2A,DF,12,Side,True
Bharatpur,2A,DF,13,Lower,True
Bharatpur,2A,TQ,14,Upper,False
Bharatpur,2A,PH,15,Lower,False
Bharatpur,2A,PH,16,Side,True
Bharatpur,2A,GN,17,Side,False
Bharatpur,2A,LD,18,Upper,True
Bharatpur,2A,DF,19,Side,False
Bharatpur,2A,PH,20,Lower,True
Bharatpur,2A,HP,21,Side,True
Bharatpur,2A,DF,22,Upper,True
Bharatpur,2A,DF,23,Side,True
