Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Mumbai,1A,LD,1,Lower,False
Mumbai,1A,LD,2,Upper,False
Mumbai,1A,GN,3,Side,False
Mumbai,1A,HP,4,Upper,True
Mumbai,1A,LD,5,Lower,False
Mumbai,1A,HP,6,Side,False
Mumbai,1A,PH,7,Side,True
Mumbai,1A,PH,8,Lower,True
Mumbai,1A,TQ,9,Upper,False
Mumbai,1A,DF,10,Lower,False
Mumbai,1A,DF,11,Lower,True
Mumbai,1A,GN,12,Lower,False
Mumbai,1A,TQ,13,Lower,True
Mumbai,1A,LD,14,Side,False
Mumbai,1A,YU,15,Upper,True
Mumbai,1A,HP,16,Side,True
Mumbai,1A,PH,17,Lower,True
Mumbai,1A,DF,18,Upper,True
Mumbai,1A,TQ,19,Side,True
Mumbai,1A,YU,20,Lower,False
Mumbai,1A,YU,21,Upper,True
Mumbai,1A,PH,22,Upper,False
Mumbai,1A,DF,23,Side,True
Mumbai,1A,HP,24,Side,True
Mumbai,2A,PH,1,Side,True
Mumbai,2A,HP,2,Upper,True
Mumbai,2A,TQ,3,Lower,True
Mumbai,2A,YU,4,Upper,False
Mumbai,2A,PH,5,Upper,True
Mumbai,2A,YU,6,Lower,False
Mumbai,2A,HP,7,Side,True
Mumbai,2A,DF,8,Side,False
Mumbai,2A,PH,9,Upper,False
Mumbai,2A,YU,10,Upper,True
Mumbai,2A,LD,11,Lower,False
Mumbai,2A,TQ,12,Lower,False
Mumbai,2A,GN,13,Upper,True
Mumbai,2A,PH,14,Upper,False
Mumbai,2A,PH,15,Lower,False
Mumbai,2A,PH,16,Side,True
Mumbai,2A,LD,17,Upper,False
Mumbai,2A,LD,18,Upper,False
Mumbai,2A,HP,19,Upper,False
Mumbai,2A,YU,20,Side,False
Mumbai,2A,PH,21,Side,False
Mumbai,2A,GN,22,Side,False
Mumbai,2A,HP,23,Lower,False
Mumbai,2A,LD,24,Side,False
Mumbai,3A,TQ,1,Side,True
Mumbai,3A,HP,2,Upper,True
Mumbai,3A,LD,3,Upper,True
Mumbai,3A,GN,4,Lower,False
Mumbai,3A,HP,5,Lower,False
Mumbai,3A,GN,6,Side,True
Mumbai,3A,HP,7,Upper,False
Mumbai,3A,PH,8,Lower,False
Mumbai,3A,YU,9,Side,False
Mumbai,3A,HP,10,Lower,True
Mumbai,3A,PH,11,Side,True
Mumbai,3A,TQ,12,Side,True
Mumbai,3A,LD,13,Upper,False
Mumbai,3A,YU,14,Upper,True
Mumbai,3A,PH,15,Lower,True
Mumbai,3A,HP,16,Upper,False
Mumbai,3A,PH,17,Side,False
Mumbai,3A,DF,18,Lower,True
