Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Hyderabad,1A,HP,1,Upper,False
Hyderabad,1A,GN,2,Upper,True
Hyderabad,1A,DF,3,Upper,False
Hyderabad,1A,LD,4,Lower,False
Hyderabad,1A,YU,5,Upper,True
Hyderabad,1A,DF,6,Side,True
Hyderabad,1A,DF,7,Side,True
Hyderabad,1A,LD,8,Lower,True
Hyderabad,1A,DF,9,Upper,True
Hyderabad,1A,HP,10,Upper,False
Hyderabad,1A,TQ,11,Lower,True
Hyderabad,1A,LD,12,Upper,True
Hyderabad,1A,TQ,13,Lower,True
Hyderabad,1A,GN,14,Upper,True
Hyderabad,1A,LD,15,Side,True
Hyderabad,1A,LD,16,Lower,False
Hyderabad,1A,GN,17,Lower,True
Hyderabad,1A,LD,18,Upper,False
Hyderabad,1A,PH,19,Lower,True
Hyderabad,1A,YU,20,Upper,True
Hyderabad,1A,LD,21,Upper,True
Hyderabad,1A,HP,22,Lower,False
Hyderabad,1A,GN,23,Side,False
Hyderabad,1A,DF,24,Side,False
Hyderabad,2A,TQ,1,Lower,True
Hyderabad,2A,LD,2,Upper,True
Hyderabad,2A,HP,3,Upper,True
Hyderabad,2A,DF,4,Lower,False
Hyderabad,2A,TQ,5,Side,True
Hyderabad,2A,LD,6,Side,False
Hyderabad,2A,LD,7,Upper,True
Hyderabad,2A,DF,8,Lower,False
Hyderabad,2A,HP,9,Side,True
Hyderabad,2A,TQ,10,Lower,True
Hyderabad,2A,HP,11,Lower,True
Hyderabad,2A,DF,12,Side,True
Hyderabad,2A,DF,13,Lower,True
Hyderabad,2A,TQ,14,Upper,False
Hyderabad,2A,PH,15,Lower,False
Hyderabad,2A,PH,16,Side,True
Hyderabad,2A,GN,17,Side,False
Hyderabad,2A,LD,18,Upper,True
Hyderabad,2A,DF,19,Side,False
Hyderabad,2A,PH,20,Lower,True
Hyderabad,2A,HP,21,Side,True
Hyderabad,2A,DF,22,Upper,True
Hyderabad,2A,DF,23,Side,True
Hyderabad,2A,HP,24,Side,False
Hyderabad,3A,TQ,1,Upper,True
Hyderabad,3A,LD,2,Side,False
Hyderabad,3A,DF,3,Upper,False
Hyderabad,3A,YU,4,Side,False
Hyderabad,3A,YU,5,Lower,True
Hyderabad,3A,LD,6,Lower,True
Hyderabad,3A,LD,7,Upper,False
Hyderabad,3A,GN,8,Upper,False
Hyderabad,3A,HP,9,Upper,False
Hyderabad,3A,LD,10,Side,False
Hyderabad,3A,PH,11,Upper,False
Hyderabad,3A,PH,12,Upper,False
Hyderabad,3A,HP,13,Side,True
Hyderabad,3A,GN,14,Lower,False
Hyderabad,3A,YU,15,Lower,False
Hyderabad,3A,LD,16,Lower,True
Hyderabad,3A,TQ,17,Lower,False
Hyderabad,3A,GN,18,Side,False
Hyderabad,3A,HP,19,Lower,True
Hyderabad,3A,DF,20,Side,False
Hyderabad,3A,GN,21,Side,False
Hyderabad,3A,HP,22,Side,True
Hyderabad,3A,DF,23,Lower,False
Hyderabad,3A,TQ,24,Upper,True
Hyderabad,SL,LD,1,Lower,True
Hyderabad,SL,LD,2,Side,True
Hyderabad,SL,HP,3,Upper,True
Hyderabad,SL,TQ,4,Lower,True
Hyderabad,SL,PH,5,Upper,False
Hyderabad,SL,GN,6,Upper,True
Hyderabad,SL,LD,7,Lower,False
Hyderabad,SL,PH,8,Lower,True
Hyderabad,SL,PH,9,Side,True
Hyderabad,SL,HP,10,Upper,False
Hyderabad,SL,TQ,11,Lower,True
Hyderabad,SL,LD,12,Lower,True
Hyderabad,SL,DF,13,Lower,True
Hyderabad,SL,PH,14,Upper,True
Hyderabad,SL,GN,15,Upper,True
Hyderabad,SL,PH,16,Lower,False
Hyderabad,SL,PH,17,Side,True
Hyderabad,SL,TQ,18,Lower,False
Hyderabad,SL,HP,19,Side,False
Hyderabad,SL,DF,20,Lower,True
Hyderabad,SL,GN,21,Side,True
Hyderabad,SL,TQ,22,Upper,False
Hyderabad,SL,HP,23,Side,False
Hyderabad,SL,HP,24,Upper,False
Gulbarga,1A,HP,1,Upper,False
Gulbarga,1A,GN,2,Upper,True
Gulbarga,1A,DF,3,Upper,False
Gulbarga,1A,LD,4,Lower,False
Gulbarga,1A,YU,5,Upper,True
Gulbarga,1A,DF,6,Side,True
Gulbarga,1A,DF,7,Side,True
Gulbarga,1A,LD,8,Lower,True
Gulbarga,1A,DF,9,Upper,True
Gulbarga,1A,HP,10,Upper,False
Gulbarga,1A,TQ,11,Lower,True
Gulbarga,1A,LD,12,Upper,True
Gulbarga,1A,TQ,13,Lower,True
Gulbarga,1A,GN,14,Upper,True
Gulbarga,1A,LD,15,Side,True
Gulbarga,1A,LD,16,Lower,False
Gulbarga,1A,GN,17,Lower,True
Gulbarga,1A,LD,18,Upper,False
Gulbarga,1A,PH,19,Lower,True
Gulbarga,1A,YU,20,Upper,True
Gulbarga,1A,LD,21,Upper,True
Gulbarga,1A,HP,22,Lower,False
Gulbarga,1A,GN,23,Side,False
Gulbarga,1A,DF,24,Side,False
Gulbarga,2A,TQ,1,Lower,True
Gulbarga,2A,LD,2,Upper,True
Gulbarga,2A,HP,3,Upper,True
Gulbarga,2A,DF,4,Lower,False
Gulbarga,2A,TQ,5,Side,True
Gulbarga,2A,LD,6,Side,False
Gulbarga,2A,LD,7,Upper,True
Gulbarga,2A,DF,8,Lower,False
Gulbarga,2A,HP,9,Side,True
Gulbarga,2A,TQ,10,Lower,True
Gulbarga,2A,HP,11,Lower,True
Gulbarga,2A,DF,12,Side,True
Gulbarga,2A,DF,13,Lower,True
Gulbarga,2A,TQ,14,Upper,False
Gulbarga,2A,PH,15,Lower,False
Gulbarga,2A,PH,16,Side,True
Gulbarga,2A,GN,17,Side,False
Gulbarga,2A,LD,18,Upper,True
Gulbarga,2A,DF,19,Side,False
Gulbarga,2A,PH,20,Lower,True
Gulbarga,2A,HP,21,Side,True
Gulbarga,2A,DF,22,Upper,True
Gulbarga,2A,DF,23,Side,True
Gulbarga,2A,HP,24,Side,False
Gulbarga,3A,TQ,1,Upper,True
Gulbarga,3A,LD,2,Side,False
Gulbarga,3A,DF,3,Upper,False
Gulbarga,3A,YU,4,Side,False
Gulbarga,3A,YU,5,Lower,True
Gulbarga,3A,LD,6,Lower,True
Gulbarga,3A,LD,7,Upper,False
Gulbarga,3A,GN,8,Upper,False
Gulbarga,3A,HP,9,Upper,False
Gulbarga,3A,LD,10,Side,False
Gulbarga,3A,PH,11,Upper,False
Gulbarga,3A,PH,12,Upper,False
Gulbarga,3A,HP,13,Side,True
Gulbarga,3A,GN,14,Lower,False
Gulbarga,3A,YU,15,Lower,False
Gulbarga,3A,LD,16,Lower,True
Gulbarga,3A,TQ,17,Lower,False
Gulbarga,3A,GN,18,Side,False
Gulbarga,3A,HP,19,Lower,True
Gulbarga,3A,DF,20,Side,False
Gulbarga,3A,GN,21,Side,False
Gulbarga,3A,HP,22,Side,True
Gulbarga,3A,DF,23,Lower,False
Gulbarga,3A,TQ,24,Upper,True
Gulbarga,SL,LD,1,Lower,True
Gulbarga,SL,LD,2,Side,True
Gulbarga,SL,HP,3,Upper,True
Gulbarga,SL,TQ,4,Lower,True
Gulbarga,SL,PH,5,Upper,False
Gulbarga,SL,GN,6,Upper,True
Gulbarga,SL,LD,7,Lower,False
Gulbarga,SL,PH,8,Lower,True
Gulbarga,SL,PH,9,Side,True
Gulbarga,SL,HP,10,Upper,False
Gulbarga,SL,TQ,11,Lower,True
Gulbarga,SL,LD,12,Lower,True
Gulbarga,SL,DF,13,Lower,True
Gulbarga,SL,PH,14,Upper,True
Gulbarga,SL,GN,15,Upper,True
Gulbarga,SL,PH,16,Lower,False
Gulbarga,SL,PH,17,Side,True
Gulbarga,SL,TQ,18,Lower,False
Gulbarga,SL,HP,19,Side,False
Gulbarga,SL,DF,20,Lower,True
Gulbarga,SL,GN,21,Side,True
Gulbarga,SL,TQ,22,Upper,False
Gulbarga,SL,HP,23,Side,False
Gulbarga,SL,HP,24,Upper,False
Dharmavaram,1A,HP,1,Upper,False
Dharmavaram,1A,GN,2,Upper,True
Dharmavaram,1A,DF,3,Upper,False
Dharmavaram,1A,LD,4,Lower,False
Dharmavaram,1A,YU,5,Upper,True
Dharmavaram,1A,DF,6,Side,True
Dharmavaram,1A,DF,7,Side,True
Dharmavaram,1A,LD,8,Lower,True
Dharmavaram,1A,DF,9,Upper,True
Dharmavaram,1A,HP,10,Upper,False
Dharmavaram,1A,TQ,11,Lower,True
Dharmavaram,1A,LD,12,Upper,True
Dharmavaram,1A,TQ,13,Lower,True
Dharmavaram,1A,GN,14,Upper,True
Dharmavaram,1A,LD,15,Side,True
Dharmavaram,1A,LD,16,Lower,False
Dharmavaram,1A,GN,17,Lower,True
Dharmavaram,1A,LD,18,Upper,False
Dharmavaram,1A,PH,19,Lower,True
Dharmavaram,1A,YU,20,Upper,True
Dharmavaram,1A,LD,21,Upper,True
Dharmavaram,1A,HP,22,Lower,False
Dharmavaram,1A,GN,23,Side,False
Dharmavaram,1A,DF,24,Side,False
Dharmavaram,2A,TQ,1,Lower,True
Dharmavaram,2A,LD,2,Upper,True
Dharmavaram,2A,HP,3,Upper,True
Dharmavaram,2A,DF,4,Lower,False
Dharmavaram,2A,TQ,5,Side,True
Dharmavaram,2A,LD,6,Side,False
Dharmavaram,2A,LD,7,Upper,True
Dharmavaram,2A,DF,8,Lower,False
Dharmavaram,2A,HP,9,Side,True
Dharmavaram,2A,TQ,10,Lower,True
Dharmavaram,2A,HP,11,Lower,True
Dharmavaram,2A,DF,12,Side,True
Dharmavaram,2A,DF,13,Lower,True
Dharmavaram,2A,TQ,14,Upper,False
Dharmavaram,2A,PH,15,Lower,False
Dharmavaram,2A,PH,16,Side,True
Dharmavaram,2A,GN,17,Side,False
Dharmavaram,2A,LD,18,Upper,True
Dharmavaram,2A,DF,19,Side,False
Dharmavaram,2A,PH,20,Lower,True
Dharmavaram,2A,HP,21,Side,True
Dharmavaram,2A,DF,22,Upper,True
Dharmavaram,2A,DF,23,Side,True
Dharmavaram,2A,HP,24,Side,False
Dharmavaram,3A,TQ,1,Upper,True
Dharmavaram,3A,LD,2,Side,False
Dharmavaram,3A,DF,3,Upper,False
Dharmavaram,3A,YU,4,Side,False
Dharmavaram,3A,YU,5,Lower,True
Dharmavaram,3A,LD,6,Lower,True
Dharmavaram,3A,LD,7,Upper,False
Dharmavaram,3A,GN,8,Upper,False
Dharmavaram,3A,HP,9,Upper,False
Dharmavaram,3A,LD,10,Side,False
Dharmavaram,3A,PH,11,Upper,False
Dharmavaram,3A,PH,12,Upper,False
Dharmavaram,3A,HP,13,Side,True
Dharmavaram,3A,GN,14,Lower,False
Dharmavaram,3A,YU,15,Lower,False
Dharmavaram,3A,LD,16,Lower,True
Dharmavaram,3A,TQ,17,Lower,False
Dharmavaram,3A,GN,18,Side,False
Dharmavaram,3A,HP,19,Lower,True
Dharmavaram,3A,DF,20,Side,False
Dharmavaram,3A,GN,21,Side,False
Dharmavaram,3A,HP,22,Side,True
Dharmavaram,3A,DF,23,Lower,False
Dharmavaram,3A,TQ,24,Upper,True
Dharmavaram,SL,LD,1,Lower,True
Dharmavaram,SL,LD,2,Side,True
Dharmavaram,SL,HP,3,Upper,True
Dharmavaram,SL,TQ,4,Lower,True
Dharmavaram,SL,PH,5,Upper,False
Dharmavaram,SL,GN,6,Upper,True
Dharmavaram,SL,LD,7,Lower,False
Dharmavaram,SL,PH,8,Lower,True
Dharmavaram,SL,PH,9,Side,True
Dharmavaram,SL,HP,10,Upper,False
Dharmavaram,SL,TQ,11,Lower,True
Dharmavaram,SL,LD,12,Lower,True
Dharmavaram,SL,DF,13,Lower,True
Dharmavaram,SL,PH,14,Upper,True
Dharmavaram,SL,GN,15,Upper,True
Dharmavaram,SL,PH,16,Lower,False
Dharmavaram,SL,PH,17,Side,True
Dharmavaram,SL,TQ,18,Lower,False
Dharmavaram,SL,HP,19,Side,False
Dharmavaram,SL,DF,20,Lower,True
Dharmavaram,SL,GN,21,Side,True
Dharmavaram,SL,TQ,22,Upper,False
Dharmavaram,SL,HP,23,Side,False
Dharmavaram,SL,HP,24,Upper,False
Gudur,1A,HP,1,Upper,False
Gudur,1A,GN,2,Upper,True
Gudur,1A,DF,3,Upper,False
Gudur,1A,LD,4,Lower,False
Gudur,1A,YU,5,Upper,True
Gudur,1A,DF,6,Side,True
Gudur,1A,DF,7,Side,True
Gudur,1A,LD,8,Lower,True
Gudur,1A,DF,9,Upper,True
Gudur,1A,HP,10,Upper,False
Gudur,1A,TQ,11,Lower,True
Gudur,1A,LD,12,Upper,True
Gudur,1A,TQ,13,Lower,True
Gudur,1A,GN,14,Upper,True
Gudur,1A,LD,15,Side,True
Gudur,1A,LD,16,Lower,False
Gudur,1A,GN,17,Lower,True
Gudur,1A,LD,18,Upper,False
Gudur,1A,PH,19,Lower,True
Gudur,1A,YU,20,Upper,True
Gudur,1A,LD,21,Upper,True
Gudur,1A,HP,22,Lower,False
Gudur,1A,GN,23,Side,False
Gudur,1A,DF,24,Side,False
Gudur,2A,TQ,1,Lower,True
Gudur,2A,LD,2,Upper,True
Gudur,2A,HP,3,Upper,True
Gudur,2A,DF,4,Lower,False
Gudur,2A,TQ,5,Side,True
Gudur,2A,LD,6,Side,False
Gudur,2A,LD,7,Upper,True
Gudur,2A,DF,8,Lower,False
Gudur,2A,HP,9,Side,True
Gudur,2A,TQ,10,Lower,True
Gudur,2A,HP,11,Lower,True
Gudur,2A,DF,12,Side,True
Gudur,2A,DF,13,Lower,True
Gudur,2A,TQ,14,Upper,False
Gudur,2A,PH,15,Lower,False
Gudur,2A,PH,16,Side,True
Gudur,2A,GN,17,Side,False
Gudur,2A,LD,18,Upper,True
Gudur,2A,DF,19,Side,False
Gudur,2A,PH,20,Lower,True
Gudur,2A,HP,21,Side,True
Gudur,2A,DF,22,Upper,True
Gudur,2A,DF,23,Side,True
Gudur,2A,HP,24,Side,False
Gudur,3A,TQ,1,Upper,True
Gudur,3A,LD,2,Side,False
Gudur,3A,DF,3,Upper,False
Gudur,3A,YU,4,Side,False
Gudur,3A,YU,5,Lower,True
Gudur,3A,LD,6,Lower,True
Gudur,3A,LD,7,Upper,False
Gudur,3A,GN,8,Upper,False
Gudur,3A,HP,9,Upper,False
Gudur,3A,LD,10,Side,False
Gudur,3A,PH,11,Upper,False
Gudur,3A,PH,12,Upper,False
Gudur,3A,HP,13,Side,True
Gudur,3A,GN,14,Lower,False
Gudur,3A,YU,15,Lower,False
Gudur,3A,LD,16,Lower,True
Gudur,3A,TQ,17,Lower,False
Gudur,3A,GN,18,Side,False
Gudur,3A,HP,19,Lower,True
Gudur,3A,DF,20,Side,False
Gudur,3A,GN,21,Side,False
Gudur,3A,HP,22,Side,True
Gudur,3A,DF,23,Lower,False
Gudur,3A,TQ,24,Upper,True
Gudur,SL,LD,1,Lower,True
Gudur,SL,LD,2,Side,True
Gudur,SL,HP,3,Upper,True
Gudur,SL,TQ,4,Lower,True
Gudur,SL,PH,5,Upper,False
Gudur,SL,GN,6,Upper,True
Gudur,SL,LD,7,Lower,False
Gudur,SL,PH,8,Lower,True
Gudur,SL,PH,9,Side,True
Gudur,SL,HP,10,Upper,False
Gudur,SL,TQ,11,Lower,True
Gudur,SL,LD,12,Lower,True
Gudur,SL,DF,13,Lower,True
Gudur,SL,PH,14,Upper,True
Gudur,SL,GN,15,Upper,True
Gudur,SL,PH,16,Lower,False
Gudur,SL,PH,17,Side,True
Gudur,SL,TQ,18,Lower,False
Gudur,SL,HP,19,Side,False
Gudur,SL,DF,20,Lower,True
Gudur,SL,GN,21,Side,True
Gudur,SL,TQ,22,Upper,False
Gudur,SL,HP,23,Side,False
Gudur,SL,HP,24,Upper,False
Chennai,1A,HP,1,Upper,False
Chennai,1A,GN,2,Upper,True
Chennai,1A,DF,3,Upper,False
Chennai,1A,LD,4,Lower,False
Chennai,1A,YU,5,Upper,True
Chennai,1A,DF,6,Side,True
Chennai,1A,DF,7,Side,True
Chennai,1A,LD,8,Lower,True
Chennai,1A,DF,9,Upper,True
Chennai,1A,HP,10,Upper,False
Chennai,1A,TQ,11,Lower,True
Chennai,1A,LD,12,Upper,True
Chennai,1A,TQ,13,Lower,True
Chennai,1A,GN,14,Upper,True
Chennai,1A,LD,15,Side,True
Chennai,1A,LD,16,Lower,False
Chennai,1A,GN,17,Lower,True
Chennai,1A,LD,18,Upper,False
Chennai,1A,PH,19,Lower,True
Chennai,1A,YU,20,Upper,True
Chennai,1A,LD,21,Upper,True
Chennai,1A,HP,22,Lower,False
Chennai,1A,GN,23,Side,False
Chennai,1A,DF,24,Side,False
Chennai,2A,TQ,1,Lower,True
Chennai,2A,LD,2,Upper,True
Chennai,2A,HP,3,Upper,True
Chennai,2A,DF,4,Lower,False
Chennai,2A,TQ,5,Side,True
Chennai,2A,LD,6,Side,False
Chennai,2A,LD,7,Upper,True
Chennai,2A,DF,8,Lower,False
Chennai,2A,HP,9,Side,True
Chennai,2A,TQ,10,Lower,True
Chennai,2A,HP,11,Lower,True
Chennai,2A,DF,12,Side,True
Chennai,2A,DF,13,Lower,True
Chennai,2A,TQ,14,Upper,False
Chennai,2A,PH,15,Lower,False
Chennai,2A,PH,16,Side,True
Chennai,2A,GN,17,Side,False
Chennai,2A,LD,18,Upper,True
Chennai,2A,DF,19,Side,False
Chennai,2A,PH,20,Lower,True
Chennai,2A,HP,21,Side,True
Chennai,2A,DF,22,Upper,True
Chennai,2A,DF,23,Side,True
Chennai,2A,HP,24,Side,False
Chennai,3A,TQ,1,Upper,True
Chennai,3A,LD,2,Side,False
Chennai,3A,DF,3,Upper,False
Chennai,3A,YU,4,Side,False
Chennai,3A,YU,5,Lower,True
Chennai,3A,LD,6,Lower,True
Chennai,3A,LD,7,Upper,False
Chennai,3A,GN,8,Upper,False
Chennai,3A,HP,9,Upper,False
Chennai,3A,LD,10,Side,False
Chennai,3A,PH,11,Upper,False
Chennai,3A,PH,12,Upper,False
Chennai,3A,HP,13,Side,True
Chennai,3A,GN,14,Lower,False
Chennai,3A,YU,15,Lower,False
Chennai,3A,LD,16,Lower,True
Chennai,3A,TQ,17,Lower,False
Chennai,3A,GN,18,Side,False
Chennai,3A,HP,19,Lower,True
Chennai,3A,DF,20,Side,False
Chennai,3A,GN,21,Side,False
Chennai,3A,HP,22,Side,True
Chennai,3A,DF,23,Lower,False
Chennai,3A,TQ,24,Upper,True
Chennai,SL,LD,1,Lower,True
Chennai,SL,LD,2,Side,True
Chennai,SL,HP,3,Upper,True
Chennai,SL,TQ,4,Lower,True
Chennai,SL,PH,5,Upper,False
Chennai,SL,GN,6,Upper,True
Chennai,SL,LD,7,Lower,False
Chennai,SL,PH,8,Lower,True
Chennai,SL,PH,9,Side,True
Chennai,SL,HP,10,Upper,False
Chennai,SL,TQ,11,Lower,True
Chennai,SL,LD,12,Lower,True
Chennai,SL,DF,13,Lower,True
Chennai,SL,PH,14,Upper,True
Chennai,SL,GN,15,Upper,True
Chennai,SL,PH,16,Lower,False
Chennai,SL,PH,17,Side,True
Chennai,SL,TQ,18,Lower,False
Chennai,SL,HP,19,Side,False
Chennai,SL,DF,20,Lower,True
Chennai,SL,GN,21,Side,True
Chennai,SL,TQ,22,Upper,False
Chennai,SL,HP,23,Side,False
Chennai,SL,HP,24,Upper,False
