Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Patna,1A,HP,1,Upper,False
Patna,1A,GN,2,Upper,True
Patna,1A,DF,3,Upper,False
Patna,1A,LD,4,Lower,False
Patna,1A,YU,5,Upper,True
Patna,1A,DF,6,Side,True
Patna,1A,DF,7,Side,True
Patna,1A,LD,8,Lower,True
Patna,1A,DF,9,Upper,True
Patna,1A,HP,10,Upper,False
Patna,1A,TQ,11,Lower,True
Patna,1A,LD,12,Upper,True
Patna,1A,TQ,13,Lower,True
Patna,1A,GN,14,Upper,True
Patna,1A,LD,15,Side,True
Patna,1A,LD,16,Lower,False
Patna,1A,GN,17,Lower,True
Patna,1A,LD,18,Upper,False
Patna,1A,PH,19,Lower,True
Patna,1A,YU,20,Upper,True
Patna,1A,LD,21,Upper,True
Patna,1A,HP,22,Lower,False
Patna,1A,GN,23,Side,False
Patna,1A,DF,24,Side,False
Patna,2A,TQ,1,Lower,True
Patna,2A,LD,2,Upper,True
Patna,2A,HP,3,Upper,True
Patna,2A,DF,4,Lower,False
Patna,2A,TQ,5,Side,True
Patna,2A,LD,6,Side,False
Patna,2A,LD,7,Upper,True
Patna,2A,DF,8,Lower,False
Patna,2A,HP,9,Side,True
Patna,2A,TQ,10,Lower,True
Patna,2A,HP,11,Lower,True
Patna,2A,DF,12,Side,True
Patna,2A,DF,13,Lower,True
Patna,2A,TQ,14,Upper,False
Patna,2A,PH,15,Lower,False
Patna,2A,PH,16,Side,True
Patna,2A,GN,17,Side,False
Patna,2A,LD,18,Upper,True
Patna,2A,DF,19,Side,False
Patna,2A,PH,20,Lower,True
Patna,2A,HP,21,Side,True
Patna,2A,DF,22,Upper,True
Patna,2A,DF,23,Side,True
Patna,2A,HP,24,Side,False
Patna,3A,TQ,1,Upper,True
Patna,3A,LD,2,Side,False
Patna,3A,DF,3,Upper,False
Patna,3A,YU,4,Side,False
Patna,3A,YU,5,Lower,True
Patna,3A,LD,6,Lower,True
Patna,3A,LD,7,Upper,False
Patna,3A,GN,8,Upper,False
Patna,3A,HP,9,Upper,False
Patna,3A,LD,10,Side,False
Patna,3A,PH,11,Upper,False
Patna,3A,PH,12,Upper,False
Patna,3A,HP,13,Side,True
Patna,3A,GN,14,Lower,False
Patna,3A,YU,15,Lower,False
Patna,3A,LD,16,Lower,True
Patna,3A,TQ,17,Lower,False
Patna,3A,GN,18,Side,False
Patna,3A,HP,19,Lower,True
Patna,3A,DF,20,Side,False
Patna,3A,GN,21,Side,False
Patna,3A,HP,22,Side,True
Patna,3A,DF,23,Lower,False
Patna,3A,TQ,24,Upper,True
Patna,SL,LD,1,Lower,True
Patna,SL,LD,2,Side,True
Patna,SL,HP,3,Upper,True
Patna,SL,TQ,4,Lower,True
Patna,SL,PH,5,Upper,False
Patna,SL,GN,6,Upper,True
Patna,SL,LD,7,Lower,False
Patna,SL,PH,8,Lower,True
