Current_Station,Class,Quota,Seat_No.,Birth_Type,Booking_Status
Bangalore,1A,HP,1,Upper,False
Bangalore,1A,GN,2,Upper,True
Bangalore,1A,DF,3,Upper,False
Bangalore,1A,LD,4,Lower,False
Bangalore,1A,YU,5,Upper,True
Bangalore,1A,DF,6,Side,True
Bangalore,1A,DF,7,Side,True
Bangalore,1A,LD,8,Lower,True
Bangalore,1A,DF,9,Upper,True
Bangalore,1A,HP,10,Upper,False
Bangalore,1A,TQ,11,Lower,True
Bangalore,1A,LD,12,Upper,True
Bangalore,1A,TQ,13,Lower,True
Bangalore,1A,GN,14,Upper,True
Bangalore,1A,LD,15,Side,True
Bangalore,1A,LD,16,Lower,False
Bangalore,1A,GN,17,Lower,True
Bangalore,1A,LD,18,Upper,False
Bangalore,1A,PH,19,Lower,True
Bangalore,1A,YU,20,Upper,True
Bangalore,1A,LD,21,Upper,True
Bangalore,1A,HP,22,Lower,False
Bangalore,1A,GN,23,Side,False
Bangalore,1A,DF,24,Side,False
Bangalore,2A,TQ,1,Lower,True
Bangalore,2A,LD,2,Upper,True
Bangalore,2A,HP,3,Upper,True
Bangalore,2A,DF,4,Lower,False
Bangalore,2A,TQ,5,Side,True
Bangalore,2A,LD,6,Side,False
Bangalore,2A,LD,7,Upper,True
Bangalore,2A,DF,8,Lower,False
Bangalore,2A,HP,9,Side,True
Bangalore,2A,TQ,10,Lower,True
Bangalore,2A,HP,11,Lower,True
Bangalore,2A,DF,12,Side,True
Bangalore,2A,DF,13,Lower,True
Bangalore,2A,TQ,14,Upper,False
Bangalore,2A,PH,15,Lower,False
Bangalore,2A,PH,16,Side,True
Bangalore,2A,GN,17,Side,False
Bangalore,2A,LD,18,Upper,True
Bangalore,2A,DF,19,Side,False
Bangalore,2A,PH,20,Lower,True
Bangalore,2A,HP,21,Side,True
Bangalore,2A,DF,22,Upper,True
Bangalore,2A,DF,23,Side,True
Bangalore,2A,HP,24,Side,False
Bangalore,3A,TQ,1,Upper,True
Bangalore,3A,LD,2,Side,False
Bangalore,3A,DF,3,Upper,False
Bangalore,3A,YU,4,Side,False
Bangalore,3A,YU,5,Lower,True
Bangalore,3A,LD,6,Lower,True
Bangalore,3A,LD,7,Upper,False
Bangalore,3A,GN,8,Upper,False
Bangalore,3A,HP,9,Upper,False
Bangalore,3A,LD,10,Side,False
Bangalore,3A,PH,11,Upper,False
Bangalore,3A,PH,12,Upper,False
Bangalore,3A,HP,13,Side,True
Bangalore,3A,GN,14,Lower,False
Bangalore,3A,YU,15,Lower,False
Bangalore,3A,LD,16,Lower,True
Bangalore,3A,TQ,17,Lower,False
Bangalore,3A,GN,18,Side,False
Bangalore,3A,HP,19,Lower,True
Bangalore,3A,DF,20,Side,False
Bangalore,3A,GN,21,Side,False
Bangalore,3A,HP,22,Side,True
Bangalore,3A,DF,23,Lower,False
Bangalore,3A,TQ,24,Upper,True
Bangalore,SL,LD,1,Lower,True
Bangalore,SL,LD,2,Side,True
